name;tagline;description;category;variant1_type;variant1_price;variant1_minQuantity;variant2_type;variant2_price;variant2_minQuantity;variant3_type;variant3_price;variant3_minQuantity
Marmer Buttercake;Kelembutan klasik penuh rasa;Buttercake marmer lembut dengan aroma butter yang khas, menghadirkan rasa manis yang sempurna.;Cake;22 x 22 (cm);100000;1;;;;;;
Bolu Tape Keju Bulat;Bolu tape lembut dengan keju melimpah;Bolu berbahan tape singkong yang lembut dipadukan dengan keju gurih, menghasilkan rasa unik yang nikmat.;Cake;20 cm;70000;1;;;;;;
Prol Tape;Manis dan gurih tape khas nusantara;Kue tape singkong dengan tekstur lembut dan rasa manis alami, sempurna untuk camilan istimewa.;Cake;20 x 10 (cm);40000;1;;;;;;
Macaroni Schotel;Klasik, lembut, dan kaya keju;Hidangan makaroni dengan saus creamy dan keju yang gurih, sempurna dinikmati hangat sebagai camilan.;Cake;Sedang 20 x 10 (cm);75000;1;Besar 20 x 20 (cm);160000;;;;
Beef Lasagna;Lasagna daging sapi lezat;Lasagna dengan lapisan daging sapi cincang, saus tomat segar, dan keju leleh, memberikan rasa Italia yang autentik.;Cake;Sedang 20 x 10 (cm);70000;1;Besar 20 x 20 (cm);170000;;;;
Lasagna Jamur;Pilihan lasagna vegetarian lezat;Lasagna vegetarian dengan lapisan jamur yang juicy dan saus creamy, alternatif sehat nan lezat.;Cake;Sedang 20 x 10 (cm);70000;1;;;;;;
Creamcheese Brownies;Lelehan cream cheese dan coklat, brownies kaya rasa.;Brownies cokelat pekat dengan lapisan creamy dari cream cheese yang lembut, memanjakan lidah dengan perpaduan rasa manis dan sedikit gurih.;Cake;Normal 20 x 20 (cm);180000;1;;;;;;
Klappertaart;Lezatnya manis kelapa muda khas Manado;Dessert khas Manado yang lembut, dengan kelapa muda, kismis, dan taburan kayu manis, memberikan rasa manis, gurih, dan aroma khas kelapa.;Cake;Normal 20 x 20 (cm);100000;1;Mini;8000;20;;;
Chococheese Buttercake;Perpaduan coklat dan keju dalam buttercake lembut.;Buttercake lembut dengan rasa coklat yang dipadu dengan keju gurih, memberikan keseimbangan rasa manis dan gurih dalam setiap gigitan.;Cake;Normal 20 (cm);200000;1;;;;;;
Pudding Buah;Segarnya buah dalam setiap lapis pudding.;Pudding yang lembut dengan lapisan buah segar yang kaya rasa, menyegarkan dan ringan, cocok untuk hidangan penutup.;Other;Normal 20 (cm);90000;1;;;;;;
