name;tagline;description;category;variant1_type;variant1_price;variant1_minQuantity;variant2_type;variant2_price;variant2_minQuantity;variant3_type;variant3_price;variant3_minQuantity;;;;;;;;;;;;;;
Marmer Buttercake;Kelembutan klasik penuh rasa;Buttercake marmer lembut dengan aroma butter yang khas, menghadirkan rasa manis yang sempurna.;Cake;Slice;5000;20;Full Size;100000;1;;;;;;;;;;;;;;;;;
Bolu Tape Keju Bulat;Bolu tape lembut dengan keju melimpah;Bolu berbahan tape singkong yang lembut dipadukan dengan keju gurih, menghasilkan rasa unik yang nikmat.;Cake;Normal;70000;1;;;;;;;;;;;;;;;;;;;;
Prol Tape;Manis dan gurih tape khas nusantara;Kue tape singkong dengan tekstur lembut dan rasa manis alami, sempurna untuk camilan istimewa.;Cake;Slice;4000;20;Full Size;40000;1;;;;;;;;;;;;;;;;;
Bolu Potong Jadul;Bolu klasik, lembut, dan selalu jadi favorit.;Bolu jadul yang lembut dan ringan, hadir dengan rasa manis yang pas. Dipotong-potong kecil, bolu ini cocok dinikmati bersama teh atau kopi, menghadirkan nostalgia kue tradisional.;Cake;Normal;75000;1;;;;;;;;;;;;;;;;;;;;
Bolu Ketan Hitam;Aroma ketan hitam dalam bolu lembut dan moist;Bolu dengan rasa khas ketan hitam, tekstur lembut, dan aroma yang harum. Rasanya gurih dan sedikit manis, menjadikannya pilihan sempurna untuk camilan atau teman minum teh.;Cake;Normal;70000;1;;;;;;;;;;;;;;;;;;;;
Fudge Brownies;Brownies cokelat pekat, lembut, dan fudgy di dalam.;Brownies dengan tekstur fudgy dan rasa cokelat yang intens. Bagian dalamnya lembut dan moist, dengan rasa manis yang memanjakan, sempurna untuk para pecinta cokelat sejati.;Cake;Normal;70000;1;;;;;;;;;;;;;;;;;;;;
Creamcheese Brownies;Lelehan cream cheese dan coklat, brownies kaya rasa.;Brownies cokelat pekat dengan lapisan creamy dari cream cheese yang lembut, memanjakan lidah dengan perpaduan rasa manis dan sedikit gurih.;Cake;Normal;180000;1;;;;;;;;;;;;;;;;;;;;
Klappertaart;Lezatnya manis kelapa muda khas Manado;Dessert khas Manado yang lembut, dengan kelapa muda, kismis, dan taburan kayu manis, memberikan rasa manis, gurih, dan aroma khas kelapa.;Cake;Mini;8000;20;Normal;100000;1;;;;;;;;;;;;;;;;;
Chococheese Buttercake;Perpaduan coklat dan keju dalam buttercake lembut.;Buttercake lembut dengan rasa coklat yang dipadu dengan keju gurih, memberikan keseimbangan rasa manis dan gurih dalam setiap gigitan.;Cake;Normal;200000;1;;;;;;;;;;;;;;;;;;;;
Pudding Buah;Segarnya buah dalam setiap lapis pudding.;Pudding yang lembut dengan lapisan buah segar yang kaya rasa, menyegarkan dan ringan, cocok untuk hidangan penutup.;Other;Cup;5500;20;Normal;90000;1;;;;;;;;;;;;;;;;;
Pandan Chiffon;Wangi pandan dan kelembutan yang memikat.;Chiffon cake berwarna hijau alami dari pandan, lembut dan airy dengan aroma pandan yang harum dan lezat.;Cake;Slice;4500;16;Full Size;70000;1;;;;;;;;;;;;;;;;;
Macaroni Schotel;Klasik, lembut, dan kaya keju;Hidangan makaroni dengan saus creamy dan keju yang gurih, sempurna dinikmati hangat sebagai camilan.;Pasta;Mini;8000;20;Normal;80000;1;Besar;160000;1;;;;;;;;;;;;;;
Beef Lasagna;Lasagna daging sapi lezat;Lasagna dengan lapisan daging sapi cincang, saus tomat segar, dan keju leleh, memberikan rasa Italia yang autentik.;Pasta;Normal;90000;1;Besar;170000;1;;;;;;;;;;;;;;;;;
Lasagna Jamur;Pilihan lasagna vegetarian lezat;Lasagna vegetarian dengan lapisan jamur yang juicy dan saus creamy, alternatif sehat nan lezat.;Pastry;Normal;70000;1;;;;;;;;;;;;;;;;;;;;
Picnic Roll;Daging dan telur dibalut kulit pastry renyah.;Roti pastry renyah dengan isi daging cincang dan telur rebus, ideal sebagai camilan atau menu saat piknik.;Pastry;Mini;11000;20;Normal;80000;1;;;;;;;;;;;;;;;;;
Chewy Chocochips Cookies;Cookies cokelat lembut dengan choco chips melimpah.;Kue dengan tekstur chewy yang kenyal dan choco chips yang melimpah, menjadikannya pilihan sempurna bagi pecinta cokelat.;Cake;Normal;10000;10;;;;;;;;;;;;;;;;;;;;
Bolu Pisang;Aroma pisang asli dalam bolu lembut.;Bolu pisang yang lembut dan manis, dibuat dari pisang asli yang memberikan rasa manis alami dan aroma harum.;Cake;Normal;65000;1;;;;;;;;;;;;;;;;;;;;
Brownies Panggang;Brownies klasik, crunchy di luar lembut di dalam.;Brownies panggang yang kaya cokelat, dengan tekstur luar yang renyah dan bagian dalam yang lembut dan fudgy.;Cake;Normal;6500;10;;;;;;;;;;;;;;;;;;;;
Brownies Pie;Brownies dengan keunikan rasa pie renyah.;Brownies cokelat dengan lapisan crust pie yang renyah, memberikan tekstur yang unik dan memuaskan.;Pie;Normal;5500;20;;;;;;;;;;;;;;;;;;;;
Susu Pie;Pie manis dengan isian susu yang lembut;Pie yang renyah dengan isian susu lembut dan manis, membuat setiap gigitannya terasa lumer di mulut.;Pie;Normal;4000;20;;;;;;;;;;;;;;;;;;;;
Blueberry Cheese Pie;Manisnya blueberry berpadu dengan cheese lembut.;Pie renyah berisi keju dan topping blueberry, memberikan kombinasi rasa manis dan asam yang seimbang.;Pie;Normal;7000;20;;;;;;;;;;;;;;;;;;;;
Lumpur Surga;Lembut, manis, dengan aroma pandan yang menggoda.;Kue tradisional dengan tekstur super lembut dan rasa manis gurih pandan, membawa kenikmatan sederhana yang kaya rasa.;Cake;Normal;5500;20;;;;;;;;;;;;;;;;;;;;
Bolen Sosis Keju;Renyah di luar, gurihnya sosis dan keju di dalam.;Bolen pastry berisi sosis dan keju, menggabungkan tekstur renyah pastry dan kelezatan gurih keju.;Cake;Normal;7500;20;;;;;;;;;;;;;;;;;;;;
